RecordType,AttributeType,AttributeAvg,AttributeMin,AttributeMax,AttributeMedian
SHA256,elapsedTime,455.0,200,2100,300.0
SHA256,PrivateKeySize,,,,
SHA256,PublicKeySize,,,,
SHA256,signatureSize,,,,
SHA512,elapsedTime,105.0,0,500,100.0
SHA512,PrivateKeySize,,,,
SHA512,PublicKeySize,,,,
SHA512,signatureSize,,,,
SHA3_256,elapsedTime,185.0,100,700,100.0
SHA3_256,PrivateKeySize,,,,
SHA3_256,PublicKeySize,,,,
SHA3_256,signatureSize,,,,
SHA3_512,elapsedTime,1540.05,100,17501,100.0
SHA3_512,PrivateKeySize,,,,
SHA3_512,PublicKeySize,,,,
SHA3_512,signatureSize,,,,
ECDSA_keygen,elapsedTime,28111.65,18101,96706,22951.0
ECDSA_keygen,PrivateKeySize,,,,
ECDSA_keygen,PublicKeySize,,,,
ECDSA_keygen,signatureSize,,,,
ECDSA_sign,elapsedTime,37642.2,29602,74605,37152.5
ECDSA_sign,PrivateKeySize,,,,
ECDSA_sign,PublicKeySize,,,,
ECDSA_sign,signatureSize,,,,
Kyber_keygen_512,elapsedTime,209062.3,163709,402524,191561.5
Kyber_keygen_512,PrivateKeySize,,,,
Kyber_keygen_512,PublicKeySize,,,,
Kyber_keygen_512,signatureSize,,,,
Kyber_encrypt_512,elapsedTime,151483.8,130407,176911,156809.0
Kyber_encrypt_512,PrivateKeySize,,,,
Kyber_encrypt_512,PublicKeySize,,,,
Kyber_encrypt_512,signatureSize,,,,
Kyber_keygen_768,elapsedTime,375261.8,263715,879450,339420.5
Kyber_keygen_768,PrivateKeySize,,,,
Kyber_keygen_768,PublicKeySize,,,,
Kyber_keygen_768,signatureSize,,,,
Kyber_encrypt_768,elapsedTime,316298.35,238213,866851,261365.5
Kyber_encrypt_768,PrivateKeySize,,,,
Kyber_encrypt_768,PublicKeySize,,,,
Kyber_encrypt_768,signatureSize,,,,
Kyber_keygen_1024,elapsedTime,434080.4,375122,510931,452976.5
Kyber_keygen_1024,PrivateKeySize,,,,
Kyber_keygen_1024,PublicKeySize,,,,
Kyber_keygen_1024,signatureSize,,,,
Kyber_encrypt_1024,elapsedTime,384242.35,300917,934255,362521.5
Kyber_encrypt_1024,PrivateKeySize,,,,
Kyber_encrypt_1024,PublicKeySize,,,,
Kyber_encrypt_1024,signatureSize,,,,
Dilithium2_keygen,elapsedTime,79229.5,69604,117207,77304.5
Dilithium2_keygen,PrivateKeySize,2528.0,2528.0,2528.0,2528.0
Dilithium2_keygen,PublicKeySize,1312.0,1312.0,1312.0,1312.0
Dilithium2_keygen,signatureSize,,,,
Dilithium2_sign,elapsedTime,242114.2,45002,696639,169310.0
Dilithium2_sign,PrivateKeySize,,,,
Dilithium2_sign,PublicKeySize,,,,
Dilithium2_sign,signatureSize,2420.0,2420.0,2420.0,2420.0
Dilithium2_verify,elapsedTime,25836.5,22601,30202,26051.0
Dilithium2_verify,PrivateKeySize,,,,
Dilithium2_verify,PublicKeySize,,,,
Dilithium2_verify,signatureSize,,,,
Dilithium3_keygen,elapsedTime,241824.15,114007,1323078,150059.0
Dilithium3_keygen,PrivateKeySize,4000.0,4000.0,4000.0,4000.0
